object_id,name,is_primary
constellation/andromeda,المرأة المسلسلة,1
constellation/antlia,أنتليا,1
constellation/apus,أبوس,1
constellation/aquarius,الدلو,1
constellation/aquila,العقاب,1
constellation/ara,آرا,1
constellation/aries,الحمل,1
constellation/auriga,ممسك الأعنة,1
constellation/bootes,العواء,1
constellation/caelum,كايلوم,1
constellation/camelopardalis,كاميلوباردالس,1
constellation/cancer,السرطان,1
constellation/canes_venatici,كلاب الصيد,1
constellation/canis_major,الكلب الأكبر,1
constellation/canis_minor,الكلب الأصغر,1
constellation/capricornus,الجدي,1
constellation/carina,الجؤجؤ,1
constellation/cassiopeia,ذات الكرسي,1
constellation/centaurus,قنطورس,1
constellation/cepheus,قيفاوس,1
constellation/cetus,قيطس,1
constellation/chamaeleon,الحرباء,1
constellation/circinus,الفرجار,1
constellation/columba,الحمامة,1
constellation/coma_berenices,شعر برنيقة,1
constellation/corona_australis,التاج الجنوبي,1
constellation/corona_borealis,التاج الشمالي,1
constellation/corvus,الغراب,1
constellation/crater,الكأس,1
constellation/crux,الصليب الجنوبي,1
constellation/cygnus,الدجاجة,1
constellation/delphinus,الدلفين,1
constellation/dorado,السمك الذهبي,1
constellation/draco,التنين,1
constellation/equuleus,الحصان الصغير,1
constellation/eridanus,النهر,1
constellation/fornax,الفرن,1
constellation/gemini,الجوزاء,1
constellation/grus,الكركي,1
constellation/hercules,الجاثي,1
constellation/horologium,الساعة,1
constellation/hydra,الحية,1
constellation/hydrus,ثعبان البحر,1
constellation/indus,الهندي,1
constellation/lacerta,السحلية,1
constellation/leo,الأسد,1
constellation/leo_minor,الأسد الأصغر,1
constellation/lepus,الأرنب,1
constellation/libra,الميزان,1
constellation/lupus,الذئب,1
constellation/lynx,الوشق,1
constellation/lyra,الشلياق,1
constellation/mensa,الطاولة,1
constellation/microscopium,المجهر,1
constellation/monoceros,وحيد القرن,1
constellation/musca,الذبابة,1
constellation/norma,المسطرة,1
constellation/octans,الثمان,1
constellation/ophiuchus,الحواء,1
constellation/orion,الجبار,1
constellation/pavo,الطاووس,1
constellation/pegasus,الفرس الأعظم,1
constellation/perseus,حامل رأس الغول,1
constellation/phoenix,العنقاء,1
constellation/pictor,الرسام,1
constellation/pisces,الحوت,1
constellation/piscis_austrinus,الحوت الجنوبي,1
constellation/puppis,الكوثل,1
constellation/pyxis,البوصلة,1
