object_id,name,is_primary
constellation/andromeda,زن زنجیر شده,1
constellation/antlia,تلمبه,1
constellation/apus,مرغ بهشتی,1
constellation/aquarius,دلو,1
constellation/aquila,عقاب,1
constellation/ara,آتشدان,1
constellation/aries,حمل,1
constellation/auriga,ارابه‌ران,1
constellation/bootes,گاوران,1
constellation/caelum,اسکنه,1
constellation/camelopardalis,زرافه,1
constellation/cancer,سرطان,1
constellation/canes_venatici,تازی‌ها,1
constellation/canis_major,سگ بزرگ,1
constellation/canis_minor,سگ کوچک,1
constellation/capricornus,بزغاله (جدی),1
constellation/carina,شاه‌تخته,1
constellation/cassiopeia,کاسیوپه (ذات‌الکرسی),1
constellation/centaurus,کنتاوروس (قنطورس),1
constellation/cepheus,قیفاووس,1
constellation/cetus,نهنگ,1
constellation/chamaeleon,آفتاب‌پرست,1
constellation/circinus,دوپرگار,1
constellation/columba,کبوتر,1
constellation/coma_berenices,گیسو,1
constellation/corona_australis,تاج جنوبی,1
constellation/corona_borealis,تاج شمالی,1
constellation/corvus,کلاغ,1
constellation/crater,پیاله,1
constellation/crux,چلیپا,1
constellation/cygnus,ماکیان,1
constellation/delphinus,دلفین,1
constellation/dorado,ماهی زرین,1
constellation/draco,اژدها,1
constellation/equuleus,اسب کوچک,1
constellation/eridanus,رود,1
constellation/fornax,کوره,1
constellation/gemini,دوپیکر (جوزا),1
constellation/grus,درنا,1
constellation/hercules,هرکول,1
constellation/horologium,ساعت,1
constellation/hydra,مار باریک,1
constellation/hydrus,آبمار (مار آبی),1
constellation/indus,هندی,1
constellation/lacerta,چلپاسه,1
constellation/leo,شیر (اسد),1
constellation/leo_minor,شیر کوچک,1
constellation/lepus,خرگوش,1
constellation/libra,ترازو (میزان),1
constellation/lupus,گرگ,1
constellation/lynx,سیاه‌گوش,1
constellation/lyra,چنگ,1
constellation/mensa,کوهمیز,1
constellation/microscopium,میکروسکوپ,1
constellation/monoceros,تک‌شاخ,1
constellation/musca,مگس جنوبی,1
constellation/norma,گونیا,1
constellation/octans,هشتک,1
constellation/ophiuchus,مارافسا/مارگیر/ماردار,1
constellation/orion,اوریون,1
constellation/pavo,طاووس,1
constellation/pegasus,اسب بال‌دار,1
constellation/perseus,پرسیوس,1
constellation/phoenix,ققنوس,1
constellation/pictor,سه‌پایه,1
constellation/pisces,ماهی (حوت),1
constellation/piscis_austrinus,ماهی جنوبی,1
constellation/puppis,دم کشتی,1
constellation/pyxis,قطب‌نما,1
constellation/reticulum,تاربست,1
constellation/sagitta,پیکان,1
constellation/sagittarius,کمان (قوس),1
constellation/scorpius,عقرب,1
constellation/sculptor,سنگتراش,1
constellation/scutum,سپر,1
constellation/serpens_caput,سر مار,1
constellation/serpens_cauda,دم مار,1
constellation/sextans,سدس,1
constellation/taurus,گاو (ثور),1
constellation/telescopium,تلسکوپ,1
constellation/triangulum,سه‌سو,1
constellation/triangulum_australe,مثلث جنوبی,1
constellation/tucana,توکان,1
constellation/ursa_major,خرس بزرگ,1
constellation/ursa_minor,خرس کوچک,1
constellation/vela,بادبان,1
constellation/virgo,دوشیزه,1
constellation/volans,ماهی پرنده,1
constellation/vulpecula,روباهک,1
dso/blue_snowball_nebula,سحابی گلوله برفی آبی,1
dso/blue_snowball_nebula,NGC ۷۶۶۲,0
dso/blue_snowball_nebula,کالدول ۲۲,0
dso/centaurus_a,سنتاروس A,1
dso/centaurus_a,NGC ۵۱۲۸,0
dso/coathanger,کت‌هنگر,1
dso/coathanger,خوشه بروکی,0
dso/coathanger,Collinder ۳۹۹,0
dso/coma_star_cluster,خوشه ستاره‌ای کوما,1
dso/coma_star_cluster,خوشه کوما برنیسز,0
dso/coma_star_cluster,Melotte ۱۱۱,0
dso/cygnus_x_1,دوتایی سیاهچاله,1
dso/cygnus_x_1,سیاهچالهٔ ستاره‌ای,0
dso/double_cluster,خوشه دوگانه,1
dso/double_cluster,h و χ پرسئوس,0
dso/double_cluster,NGC 869 و NGC 884,0
dso/double_cluster,کالدول ۱۴,0
dso/eta_carinae_nebula,سحابی اتا کارینا,1
dso/eta_carinae_nebula,سحابی کارینا,0
dso/exposed_cranium_nebula,سحابی جمجمه برملا,1
dso/ghost_of_jupiter,شبح مشتری,1
dso/ghost_of_jupiter,NGC ۳۲۴۲,0
dso/ghost_of_jupiter,کالدول ۵۹,0
dso/hdf,زمینه ژرف هابل,1
dso/hdf,زمینه ژرف هابل,0
dso/helix_nebula,سحابی هلیکس,1
dso/helix_nebula,چشم خدا,0
dso/helix_nebula,NGC ۷۲۹۳,0
dso/helix_nebula,کالدول ۶۳,0
dso/hyades,هیادس,1
dso/hyades,Melotte ۲۵,0
dso/hyades,کالدول ۴۱,0
dso/jewel_box,جعبه جواهر,1
dso/jewel_box,جعبه جواهر هرشل,0
dso/jewel_box,خوشه کاپا کروسیس,0
dso/jewel_box,NGC ۴۷۵۵,0
dso/lmc,ابر ماژلانی بزرگ,1
dso/lmc,Nubecula Major,0
dso/m1,سحابی خرچنگ,1
dso/m1,NGC ۱۹۵۲,0
dso/m101,کهکشان فرفره,1
dso/m101,NGC ۵۴۵۷,0
dso/m102,کهکشان دوک,1
dso/m104,کهکشان سومبررو,1
dso/m104,NGC ۴۵۹۴,0
dso/m11,خوشه اردک وحشی,1
dso/m13,خوشه کروی هرکول,1
dso/m13,خوشه کروی هرکول,0
dso/m13,NGC ۶۲۰۵,0
dso/m16,سحابی عقاب,1
dso/m16,NGC ۶۶۱۱,0
dso/m20,سحابی سه‌تکه,1
dso/m24,ابر ستاره‌ای کمان,1
dso/m27,سحابی دمبل,1
dso/m31,کهکشان آندرومدا,1
dso/m31,NGC ۲۲۴,0
dso/m33,کهکشان مثلث,1
dso/m40,وینکه ۴,1
dso/m42,سحابی جبار,1
dso/m43,سحابی دمیران,1
dso/m44,خوشه کندوی عسل,1
dso/m44,خوشه کندوی عسل,0
dso/m44,NGC ۲۶۳۲,0
dso/m45,پليادها,1
dso/m45,خوشه پروین (ثریا),0
dso/m51,کهکشان گرداب,1
dso/m51,NGC ۵۱۹۴,0
dso/m57,سحابی حلقه ای,1
dso/m6,خوشه پروانه,1
dso/m6,NGC ۶۴۰۵,0
dso/m63,کهکشان آفتابگردان,1
dso/m64,کهکشان چشم سیاه,1
dso/m65,ام۶۵,1
dso/m65,Leo Triplet,0
dso/m66,ام۶۶,1
dso/m66,Leo Triplet,0
dso/m7,دم عقرب,1
dso/m7,خوشه بطلمیوس,0
dso/m7,NGC ۶۴۷۵,0
dso/m74,کهکشان شبح,1
dso/m76,سحابی دمبل کوچک,1
dso/m8,سحابی مرداب,1
dso/m81,کهکشان بود,1
dso/m82,کهکشان سیگار,1
dso/m83,کهکشان فرفره جنوبی,1
dso/m97,سحابی جغد,1
dso/n47_tucanae,۴۷ توکانه,1
dso/n47_tucanae,۴۷ Tuc,0
dso/n47_tucanae,NGC ۱۰۴,0
dso/ngc_6543,سحابی چشم گربه,1
dso/north_america_nebula,سحابی آمریکای شمالی,1
dso/north_america_nebula,کالدول 20,0
dso/omega_centauri,خوشه کروی امگا قنطورس,1
dso/omega_centauri,ω Centauri,0
dso/saturn_nebula,سحابی زحل,1
dso/saturn_nebula,NGC ۷۰۰۹,0
dso/saturn_nebula,کالدول ۵۵,0
dso/sculptor_galaxy,کهکشان مجسمه‌ساز,1
dso/sculptor_galaxy,کهکشان سکه نقره‌ای,0
dso/sculptor_galaxy,کهکشان سکه نقره‌ای,0
dso/sculptor_galaxy,NGC ۲۵۳,0
dso/sgr_a_star,Sgr A*,1
dso/sgr_a_star,سیاهچاله,0
dso/sgr_a_star,مرکز کهکشان,0
dso/smc,ابر ماژلانی کوچک,1
dso/smc,Nubecula Minor,0
dso/t_crb,T کرونا بورئالیس,1
dso/t_crb,ستاره درخشان,0
dso/tarantula_nebula,سحابی تارانتولا,1
dso/tarantula_nebula,30 دورادوس,0
dso/willman_1,ویلمن ۱,1
dso/willman_1,کهکشان بت ویلمن,0
moon/ariel,آریل,1
moon/callisto,کالیستو,1
moon/deimos,دیموس,1
moon/dione,دیون,1
moon/europa,اروپا,1
moon/ganymede,گانیمد,1
moon/iapetus,یاپتوس,1
moon/io,ایو,1
moon/oberon,اوبرون,1
moon/phobos,فوبوس,1
moon/rhea,رئا,1
moon/tethys,تتیس,1
moon/titan,تیتان,1
moon/titania,تیتانیا,1
moon/triton,تریتون,1
moon/umbriel,آمبریل,1
planet/jupiter,مشتری,1
planet/mars,مریخ,1
planet/mercury,عطارد,1
planet/moon,ماه,1
planet/neptune,نپتون,1
planet/pluto,پلوتون,1
planet/saturn,زحل,1
planet/sun,خورشید,1
planet/uranus,اورانوس,1
planet/venus,زهره,1
shower/aquariids,بارش شهابی اتا دلوی,1
shower/deltaaquariids,بارش شهابی دلتای جنوبی,1
shower/geminids,بارش شهابی جوزایی,1
shower/leonids,بارش شهابی اسدی,1
shower/lyrids,بارش شهابی شلیاقی,1
shower/orionids,بارش شهابی جباری,1
shower/perseids,بارش شهابی برساوشی,1
shower/puppidvelids,بارش شهابی پی‌کشتیدمی,1
shower/quadrantids,بارش شهابی ربعی,1
shower/ursids,بارش شهابی دبی,1
star/achernar,آخرالنهر,1
star/acrux,آلفا صلیب,1
star/adhara,عذارا,1
star/alcyone,نیرثریا,1
star/aldebaran,دبران,1
star/alderamin,بازوی راست,1
star/algenib,گاما پگاسوس,1
star/algieba,جبهه,1
star/algol,رأس‌الغول,1
star/alhena,هنعه (میسان),1
star/alioth,جون,1
star/alkaid,قائد,1
star/alnair,نیر,1
star/alnath,نطح,1
star/alnilam,نظام,1
star/alphard,قلب‌الفرد,1
star/alphekka,فکه,1
star/alpheratz,سرةالفرس,1
star/altair,کرکس پرنده,1
star/ankaa,عنقا,1
star/antares,قلب‌العقرب,1
star/arcturus,ژوبین‌دار,1
star/arneb,ارنب,1
star/betelgeuse,ابط الجوزا / آلفای شکارچی,1
star/canopus,سهیل,1
star/capella,سروش (عیوق),1
star/caph,کف‌الخضیب,1
star/castor,سرپیشین,1
star/deneb,دنب,1
star/denebola,ذنب‌الاسد,1
star/diphda,ضفدع,1
star/dubhe,دبه,1
star/e_lyrae,اپسیلون شلیاق,1
star/enif,انف (اسب بالدار),1
star/etamin,گاما اژدها,1
star/fomalhaut,دهان ماهی,1
star/hadar,بتا قنطورس (حضار),1
star/hamal,حمل,1
star/izar,ازار,1
star/j003712+535400,Fulu,1
star/j004912+574912,Achird,1
star/j005624+591048,Castula,1
star/j010824-551500,Wurren,1
star/j011348+073448,Revati,1
star/j012212+453148,Adhil,1
star/j012548+601424,Ruchbah,1
star/j013112+152100,Alpherg,1
star/j013636+412436,Titawin,1
star/j013748+483748,Nembus,1
star/j014536+090936,Torcular,1
star/j015136-101948,Baten Kaitos,1
star/j015248+293448,Mothallah,1
star/j015436+204836,Sheratan,1
star/j015436+634012,Segin,1
